App,Category,Rating,Reviews,Installs,Type,Content Rating
Messenger ? Text and Video Chat for Free,COMMUNICATION,4.0,56642847,"1,000,000,000+",Free,Everyone
WhatsApp Messenger,COMMUNICATION,4.4,69119316,"1,000,000,000+",Free,Everyone
Messenger for SMS,COMMUNICATION,4.3,125257,"10,000,000+",Free,Teen
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,"1,000,000,000+",Free,Everyone
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,"100,000,000+",Free,Everyone
Gmail,COMMUNICATION,4.3,4604324,"1,000,000,000+",Free,Everyone
Hangouts,COMMUNICATION,4.0,3419249,"1,000,000,000+",Free,Everyone
Viber Messenger,COMMUNICATION,4.3,11334799,"500,000,000+",Free,Everyone
My Tele2,COMMUNICATION,4.3,158679,"5,000,000+",Free,Everyone
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,"100,000,000+",Free,Everyone
Yahoo Mail ? Stay Organized,COMMUNICATION,4.3,4187998,"100,000,000+",Free,Everyone
imo beta free calls and text,COMMUNICATION,4.3,659395,"100,000,000+",Free,Everyone
imo free video calls and chat,COMMUNICATION,4.3,4785892,"500,000,000+",Free,Everyone
Contacts,COMMUNICATION,4.3,66602,"50,000,000+",Free,Everyone
Call Free ? Free Call,COMMUNICATION,4.3,30209,"5,000,000+",Free,Everyone
Web Browser & Explorer,COMMUNICATION,4.0,36901,"5,000,000+",Free,Everyone
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,"100,000,000+",Free,Everyone
Browser 4G,COMMUNICATION,4.3,192948,"10,000,000+",Free,Everyone
MegaFon Dashboard,COMMUNICATION,3.7,99559,"10,000,000+",Free,Everyone
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,"10,000,000+",Free,Everyone
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,"10,000,000+",Free,Everyone
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,"100,000,000+",Free,Everyone
TracFone My Account,COMMUNICATION,3.6,20769,"1,000,000+",Free,Everyone
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,"1,000,000+",Free,Everyone
Google Voice,COMMUNICATION,4.2,171031,"10,000,000+",Free,Everyone
Chrome Dev,COMMUNICATION,4.4,63543,"5,000,000+",Free,Everyone
Xperia Link?,COMMUNICATION,4.1,45487,"10,000,000+",Free,Everyone
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,"10,000,000+",Free,Mature 17+
Who,COMMUNICATION,4.3,2451083,"100,000,000+",Free,Teen
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,"5,000,000+",Free,Everyone
WeChat,COMMUNICATION,4.2,5387333,"100,000,000+",Free,Everyone
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,"100,000,000+",Free,Teen
WhatsApp Business,COMMUNICATION,4.4,136662,"10,000,000+",Free,Everyone
My magenta,COMMUNICATION,3.9,42370,"1,000,000+",Free,Everyone
Android Messages,COMMUNICATION,4.2,781810,"100,000,000+",Free,Everyone
Telegram,COMMUNICATION,4.4,3128250,"100,000,000+",Free,Mature 17+
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,"500,000,000+",Free,Everyone
Puffin Web Browser,COMMUNICATION,4.3,541389,"10,000,000+",Free,Everyone
Seznam.cz,COMMUNICATION,4.3,46702,"1,000,000+",Free,Everyone
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,"100,000+",Free,Everyone
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,"10,000,000+",Free,Everyone
GMX Mail,COMMUNICATION,4.3,258556,"10,000,000+",Free,Everyone
Omlet Chat,COMMUNICATION,3.9,40751,"10,000,000+",Free,Teen
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,"500,000,000+",Free,Teen
My Vodacom SA,COMMUNICATION,3.7,25021,"5,000,000+",Free,Everyone
Microsoft Edge,COMMUNICATION,4.3,27187,"5,000,000+",Free,Everyone
Hangouts Dialer - Call Phones,COMMUNICATION,4.0,122498,"10,000,000+",Free,Everyone
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,"10,000,000+",Free,Everyone
Calls & Text by Mo+,COMMUNICATION,4.2,83239,"5,000,000+",Free,Everyone
free video calls and chat,COMMUNICATION,4.2,594728,"50,000,000+",Free,Everyone
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,"1,000,000,000+",Free,Everyone
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,"100,000,000+",Free,Everyone
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,"1,000,000+",Free,Everyone
chomp SMS,COMMUNICATION,4.3,335646,"10,000,000+",Free,Everyone
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,"10,000,000+",Free,Everyone
Text SMS,COMMUNICATION,4.5,349384,"10,000,000+",Free,Everyone
Google Allo,COMMUNICATION,4.3,346982,"10,000,000+",Free,Everyone
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,"10,000,000+",Free,Everyone
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,"500,000,000+",Free,Everyone
GroupMe,COMMUNICATION,4.5,330761,"10,000,000+",Free,Everyone
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,"1,000,000+",Free,Everyone
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,"100,000,000+",Free,Everyone
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,"100,000,000+",Free,Everyone
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,"1,000,000+",Free,Everyone
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,"50,000,000+",Free,Everyone
Ninesky Browser,COMMUNICATION,4.2,42925,"1,000,000+",Free,Everyone
"Dolphin Browser - Fast, Private & Adblock??",COMMUNICATION,4.5,2511130,"50,000,000+",Free,Everyone
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,"1,000,000+",Free,Everyone
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156,"1,000,000+",Free,Everyone
